ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLY_DATE,LATITUDE,LONGITUDE
MDW,MCO,990,1/06/2005,41.78598,-87.75242
OAK,HOU,1642,1/09/2005,37.72129,-122.22072
SAT,ELP,496,1/01/2005,29.53369,-98.46978
TPA,BWI,842,1/03/2005,27.97547,-82.53325
TUS,DEN,639,1/05/2005,32.11608,-110.94103
SNA,EWR,2434,1/07/2005,33.67566,-117.86822
RDU,CLT,130,1/04/2005,35.87764,-78.78747
MKE,PHX,1460,1/02/2005,42.94722,-87.89658
BWI,PHX,1999,1/11/2005,39.1754,-76.6682
SAN,DFW,1171,1/02/2005,32.73356,-117.18966
PDX,ORD,1739,1/10/2005,45.58872,-122.5975
ORF,DFW,1212,1/07/2005,36.89461,-76.20122
OKC,DFW,175,1/12/2005,35.39309,-97.60073
MIA,LAX,2342,1/01/2005,25.79325,-80.29056
MIA,JFK,1089,1/10/2005,25.79325,-80.29056
PHX,ORD,1440,1/11/2005,33.43417,-112.00806
IND,DFW,761,1/12/2005,39.71733,-86.29438
CMH,DFW,926,1/12/2005,39.99799,-82.89188
LAS,LGB,231,1/12/2006,36.08036,-115.15233
LGB,SMF,387,1/12/2006,33.81772,-118.15161
FLL,JAX,319,1/08/2006,26.07258,-80.15275
STL,ATL,484,1/10/2006,38.74769,-90.35999
MSP,LGA,1020,1/11/2006,44.88055,-93.21692
LGA,MIA,1096,1/07/2006,40.77724,-73.87261
SEA,JFK,2422,1/07/2006,47.44898,-122.30931
SAN,DTW,1956,1/04/2006,32.73356,-117.18966
SLC,ATL,1590,1/08/2006,40.78839,-111.97777
MSP,TUS,1298,1/05/2006,44.88055,-93.21692
LIT,ATL,453,1/09/2006,34.7294,-92.22425
LGA,FLL,1076,1/03/2006,40.77724,-73.87261
FSD,DFW,737,1/09/2006,43.58135,-96.7417
ABI,DFW,158,1/12/2006,32.41132,-99.6819
FAR,ORD,557,1/12/2006,46.91935,-96.81499
EUG,LAX,748,1/06/2006,44.12326,-123.21869
SJC,LAX,308,1/01/2006,37.36186,-121.92901
LAX,SLC,590,1/03/2006,33.94254,-118.40807
BUF,JFK,301,1/08/2006,42.94052,-78.73217
LIH,HNL,102,1/07/2006,21.97598,-159.33896
MCO,JFK,944,1/07/2006,28.42889,-81.31603
SHV,IAH,192,1/04/2006,32.44663,-93.8256
MCO,BOS,1121,1/05/2006,28.42889,-81.31603
OGG,HNL,100,1/03/2006,20.89865,-156.43046
LAS,IAH,1222,1/05/2006,36.08036,-115.15233
GUM,HNL,3801,1/01/2006,13.48345,-144.79598
LAX,HNL,2556,1/03/2006,33.94254,-118.40807
ORF,CLT,290,1/07/2006,36.89461,-76.20122
AUS,BWI,1342,1/08/2006,30.19453,-97.66987
CAK,BOS,549,1/03/2006,40.91631,-81.44247
CMH,RSW,930,1/04/2006,39.99799,-82.89188
DAL,LGA,1381,1/11/2006,32.84711,-96.85177
LAS,SNA,226,1/05/2006,36.08036,-115.15233
SAN,DAL,1182,1/01/2006,32.73356,-117.18966
ONT,MDW,1706,1/06/2006,34.056,-117.60119
PHX,DEN,602,1/09/2006,33.43417,-112.00806
PIT,PHX,1814,1/02/2006,40.49147,-80.23287
MCO,PHX,1849,1/06/2006,28.42889,-81.31603
SFO,DFW,1464,1/05/2006,37.619,-122.37484
PHX,DFW,868,1/06/2006,33.43417,-112.00806
DFW,DEN,641,1/03/2006,32.89595,-97.0372
ANC,SCC,627,1/01/2006,61.17432,-149.99619
SEA,ONT,956,1/02/2006,47.44898,-122.30931
PHL,SLC,1927,1/02/2006,39.87195,-75.24114
CMH,ATL,447,1/09/2006,39.99799,-82.89188
CVG,ATL,373,1/04/2006,39.04614,-84.66217
BOS,TPA,1185,1/01/2006,42.36435,-71.00518
IND,ATL,432,1/11/2006,39.71733,-86.29438
TVC,ORD,224,1/11/2006,44.74144,-85.58224
DCA,DEN,1476,1/04/2006,38.85208,-77.03772
ALO,ORD,234,1/12/2006,42.55708,-92.40034
TLH,MIA,402,1/12/2006,30.39653,-84.35033
TPA,DTW,983,1/09/2006,27.97547,-82.53325
ASE,ORD,1013,1/09/2006,39.22316,-106.86885
MEM,LAX,1619,1/11/2006,35.04242,-89.97667
RIC,EWR,277,1/10/2006,37.50517,-77.31967
AUS,LGB,1226,1/11/2006,30.19453,-97.66987
FLL,LGA,1076,1/10/2006,26.07258,-80.15275
MIA,SJU,1045,1/01/2006,25.79325,-80.29056
LAS,MSP,1299,1/08/2006,36.08036,-115.15233
HNL,OGG,100,1/10/2006,21.31869,-157.92241
JFK,SJU,1598,1/08/2006,40.63975,-73.77893
IAH,ORD,925,1/02/2006,29.98047,-95.33972
CLE,SFO,2161,1/02/2006,41.41089,-81.8494
SFO,CLT,2296,1/06/2006,37.619,-122.37484
MSY,CLT,651,1/07/2006,29.99339,-90.25803
SEA,SFO,679,1/09/2006,47.44898,-122.30931
BOI,DEN,649,1/07/2006,43.56444,-116.22278
BNA,LAS,1587,1/12/2006,36.12448,-86.67818
CMH,LAS,1771,1/10/2006,39.99799,-82.89188
DCA,BNA,562,1/12/2006,38.85208,-77.03772
ISP,PBI,1052,1/07/2006,40.79524,-73.10021
MCO,MDW,990,1/05/2006,28.42889,-81.31603
SAN,SJC,417,1/08/2006,32.73356,-117.18966
SEA,PHX,1107,1/03/2006,47.44898,-122.30931
STL,LAS,1371,1/02/2006,38.74769,-90.35999
HOU,MDW,937,1/08/2006,29.64542,-95.27889
PHX,ATL,1587,1/08/2006,33.43417,-112.00806
BWI,ORD,622,1/09/2006,39.1754,-76.6682
PBI,EWR,1023,1/03/2006,26.68316,-80.09559
MIA,DFW,1121,1/12/2006,25.79325,-80.29056
MIA,SFO,2585,1/04/2006,25.79325,-80.29056
SEA,JFK,2422,1/12/2006,47.44898,-122.30931
ELP,DFW,551,1/06/2006,31.80667,-106.37781
MIA,LGA,1096,1/10/2006,25.79325,-80.29056
MIA,ORD,1197,1/10/2006,25.79325,-80.29056
AUS,LAX,1242,1/01/2006,30.19453,-97.66987
ONT,DFW,1188,1/05/2006,34.056,-117.60119
DFW,RDU,1061,1/05/2006,32.89595,-97.0372
RNO,DFW,1345,1/10/2006,39.49858,-119.76806
DFW,FLL,1119,1/03/2006,32.89595,-97.0372
SMF,SEA,605,1/02/2006,38.69542,-121.59077
PBI,BOS,1197,1/01/2006,26.68316,-80.09559
BOS,ORD,867,1/07/2006,42.36435,-71.00518
MCO,HPN,972,1/11/2006,28.42889,-81.31603
BOS,STT,1693,1/09/2006,42.36435,-71.00518
MEM,MCO,684,1/09/2006,35.04242,-89.97667
CLT,ATL,226,1/08/2006,35.21401,-80.94313
PHX,ATL,1587,1/02/2006,33.43417,-112.00806
PHX,JFK,2153,1/12/2006,33.43417,-112.00806
MSY,ATL,425,1/10/2006,29.99339,-90.25803
RDU,ATL,356,1/12/2006,35.87764,-78.78747
BOS,ATL,946,1/11/2006,42.36435,-71.00518
LAS,ATL,1747,1/01/2006,36.08036,-115.15233
MCI,IAH,643,1/08/2006,39.29761,-94.71391
IAH,CLT,912,1/09/2006,29.98047,-95.33972
CLE,LGA,419,1/12/2006,41.41089,-81.8494
IAD,CVG,388,1/10/2006,38.94453,-77.45581
MCO,MDT,851,1/06/2006,28.42889,-81.31603
XNA,DFW,280,1/01/2006,36.28187,-94.30681
MHK,ORD,501,1/11/2006,39.14097,-96.67083
DFW,LAX,1235,1/12/2006,32.89595,-97.0372
TUS,LAX,451,1/03/2006,32.11608,-110.94103
IMT,RHI,67,1/02/2006,45.81835,-88.11454
MRY,LAX,266,1/04/2006,36.58698,-121.84295
ASE,LAX,737,1/10/2006,39.22316,-106.86885
EWR,PBI,1023,1/05/2006,40.6925,-74.16866
SFO,SBP,190,1/07/2006,37.619,-122.37484
FLL,LGA,1076,1/08/2006,26.07258,-80.15275
MCO,SLC,1931,1/09/2006,28.42889,-81.31603
CRP,IAH,201,1/04/2006,27.77036,-97.50122
BZN,DEN,524,1/11/2006,45.7769,-111.15301
JFK,FLL,1069,1/03/2006,40.63975,-73.77893
MAF,IAH,429,1/05/2006,31.94253,-102.20191
ITO,HNL,216,1/02/2006,19.72026,-155.04847
DTW,IAH,1075,1/01/2006,42.21206,-83.34884
ORD,MKE,67,1/07/2006,41.9796,-87.90446
IAH,BWI,1235,1/09/2006,29.98047,-95.33972
SFO,ORD,1846,1/08/2006,37.619,-122.37484
